ObjectID;ProviderID;GoogleID;State;ActiveTime;Rank;TypeID;Name;Address;Phone;Lat;Lng
100;39;ChIJVUyaW5ZC0EARgNTKpZ27E5k;0;;0;0;Їжак;вулиця Соборна, 28, Кропивницький;;48.501152;32.244585
100;40;ChIJ2QtXxLFC0EARMpp4kH7N7AU;0;;0;0;Sho bar;вулиця Декабристів, 6/15, Кропивницький;;48.512403;32.263615
100;41;ChIJMx0807BC0EARsBbxjrmI504;0;;0;0;Velvet;вулиця Віктора Чміленка, 24, Кропивницький;;48.513014;32.256821
100;42;ChIJjf7CDK5C0EARa6jy011VnHg;0;;0;0;MELANGE;вулиця Гоголя, 72, Кропивницький;;48.508007;32.264273
100;43;ChIJRUkIlK9C0EARQk9raCkfeKI;0;;0;0;Кальянная Куба №1;вулиця Тараса Карпи, 62/2, Кропивницький;;48.509614;32.263997
100;44;ChIJMXHUzK9C0EAR7CqwD5gefWs;0;;0;0;Прага;вулиця В'ячеслава Чорновола, 31, Кропивницький;;48.51095;32.265121
100;45;ChIJr03KKK5C0EARVzMHwPDgUJ0;0;;0;0;Ne Speshi bar;вулиця Архітектора Паученка, 28, Кропивницький;;48.511662;32.264744
100;46;ChIJp9v0465C0EAR0n_d6Ogn74I;0;;0;0;Ne Speshi bar;вулиця Архітектора Паученка, 28, Кропивницький;;48.510067;32.268999
100;47;ChIJ_e0n46hC0EARuVmICaGpDBM;0;;0;0;ЕвроАзия;вулиця Архітектора Паученка, 64, Кропивницький;;48.507971;32.273018
100;48;ChIJzSDxNRFD0EAR4nmYQ2HaCrg;0;;0;0;BRO Bar;Преображенська вулиця, 4, Кропивницький;;48.507392;32.261852
100;49;ChIJoSe-6XtD0EARF9CbhWuPGwY;0;;0;0;Не Добро Пожаловать;вулиця Велика Перспективна, 62, Кропивницький;;48.506033;32.262877
100;50;ChIJaaaD669C0EARzFv4ZOSpzeo;0;;0;0;Куба 1;вулиця В'ячеслава Чорновола, 41, Кропивницький;;48.509595;32.263977
100;51;ChIJZZzb7VZD0EAR_mU3PGlDOFY;0;;0;0;Gastro bar “Wine & Tapas”;вулиця В'ячеслава Чорновола, 37/76, Кропивницький;;48.510202;32.264701
100;52;ChIJy6MLMq5C0EARgwdl1s-VLJw;0;;0;0;Шалений Патрік;36/30, Черновіла, Кропивницки;;48.511372;32.265132
100;53;ChIJ7Rz6KK5C0EARTYC8AMQv36g;0;;0;0;Черчель;30/36, вулиця Леніна, 30/36, Кропивницький;;48.511613;32.26479
100;54;ChIJAQDw0LFC0EAR7LUApCBT3l4;0;;0;0;Churchill's Pub;вулиця Архітектора Паученка, 28, Кропивницький;;48.511674;32.264873
100;55;ChIJnbg5wbFC0EARnMPhdSFe23s;0;;0;0;MOVI;вулиця Декабристів, 8/22, Кропивницький;;48.512084;32.263747
100;56;ChIJq22ZSLpD0EARGDCLbrWLntg;0;;0;0;Grill Pub;Кропивницький;;48.512443;32.262796
100;57;ChIJIdcB-a5C0EARNRheMYW9glg;0;;0;0;"Традиційна броварня "" Дудляр""";Кропивницький;;48.510527;32.268073
100;58;ChIJjVKFIq5C0EARW_iljAQRueo;0;;0;0;Prado;вулиця В'ячеслава Чорновола, 30, Кропивницький;;48.512033;32.265966
100;59;ChIJWU4knodD0EARe6CJzqACyIQ;0;;0;0;"Bar ""Muzey""";вулиця Декабристів, 4, Кропивницький;;48.512787;32.264383
100;60;ChIJJw2JXqVC0EARID70bTamVsM;0;;0;0;Корчма;вулиця В'ячеслава Чорновола, 50, Кропивницький;;48.508619;32.262736
100;61;ChIJ3woSdKVC0EARCOdQuxbRrxU;0;;0;0;Франсуа - бутерброди 24/7;Кропивницький;;48.50753;32.263571
100;62;ChIJMXYiv6VC0EARP4mZQic11Zk;0;;0;0;Shaurma;Преображенська вулиця, Кропивницький;;48.50654;32.265011
100;63;ChIJJ_5ulq9C0EARLlQQvpRWI3Y;0;;0;0;GRANAT RESTAURANT;г, Карпа, 59, вулиця Тараса Карпи, Кропивницький;;48.509505;32.264892
100;64;ChIJwf9en69C0EARhUFxCIi4wto;0;;0;0;Makfoksi;вулиця Велика Перспективна, 38, Кропивницький;;48.509304;32.265882
100;65;ChIJ2WfZoa9C0EARMeECyinJams;0;;0;0;Shaurmen;вулиця Велика Перспективна, 38, Кропивницький;;48.50931;32.265958
100;66;ChIJOxiT3aVC0EARkbYl403KiVQ;0;;0;0;Максим;Преображенська вулиця, 17/65, Кропивницький;;48.506259;32.266561
100;67;ChIJZfaw2KVC0EARtfoMI-GcwEk;0;;0;0;Sushi KADO;Пашутинська вулиця, 69, Кропивницький;;48.505858;32.266653
100;68;ChIJy6MLMq5C0EARgwdl1s-VLJw;0;;0;0;Шалений Патрік;36/30, Черновіла, Кропивницки;;48.511372;32.265132
100;69;ChIJqVviKK5C0EARsj4HK26ds6s;0;;0;0;Scorini;вулиця Архітектора Паученка, 28, Кропивницький;;48.511545;32.264961
100;70;ChIJtyin2M5D0EARd0DSCZADdMU;0;;0;0;Lounge Bar Granat;вулиця В'ячеслава Чорновола, 30а, Кропивницький;;48.512239;32.26551
100;71;ChIJVVVlv7FC0EARPI65BnVxqZs;0;;0;0;Spring Club;13,, вулиця Леніна, 13, Кропивницький;;48.512687;32.263316
100;72;ChIJJdGnIK9C0EARB0R0gnTPleA;0;;0;0;Sorrento;Пашутинська вулиця, 37, Кропивницький;;48.509534;32.2696
100;73;ChIJOV6K465C0EARkoOyA5mYlyg;0;;0;0;Sorrento;вулиця Архітектора Паученка, 46, Кропивницький;;48.509548;32.269631
100;74;ChIJqYiLZa5C0EARuG3jRHsHiDQ;0;;0;0;FAMILIA GARDEN;вулиця Велика Перспективна, 34/32, Кропивницький;;48.51167;32.268231
100;75;ChIJ_2LuT6ZC0EARGpuhv_0SWCY;0;;0;0;Admiral;Адмирал, Преображенська вулиця, 26, Кропивницький;;48.504839;32.26925
100;76;ChIJWfUTEllC0EARZAiU0NWl7Vk;0;;0;0;Лавіта;вул. Велика Перспективна, 32/11, Кропивницький;;48.512119;32.268601
100;77;ChIJESGacK5C0EARGoEKGXUhVUs;0;;0;0;Пиццерия La Vita;вулиця Велика Перспективна, 32/11, Кропивницький;;48.512152;32.268704
100;78;ChIJAai8c6BC0EAR49vv_UXowvM;0;;0;0;Розмарин;Верхня Пермська вулиця, 8, Кропивницький;;48.501931;32.261996
100;79;ChIJxfKShq5C0EARUj-vjxXuRNQ;0;;0;0;Smachni Tradytsiyi;вулиця Шевченка, 15, Кропивницький;;48.511611;32.269729
100;80;ChIJP5o2AB1o0EARSHSZx4c3oEE;0;;0;0;кафе баку;Преображенська вулиця, Кропивницький;;48.496721;32.290277
100;81;ChIJb5IWaqVC0EAR0UltFwivGFg;0;;0;0;ЗІРКА, КАФЕ;Двірцева вул. 22А, Кропивницький;;48.507933;32.262317
100;82;ChIJb5IWaqVC0EARgaC2BUPltjg;0;;0;0;СПОРТ ТАЙМ, КАФЕ;Двірцева вул. 13, Кропивницький;;48.507933;32.262317
